employee_id,archetype
EMP1000,healthy
EMP1001,burnout
EMP1002,healthy
EMP1003,leave_starved
EMP1004,rocky_onboarding
EMP1005,burnout
EMP1006,healthy
EMP1007,recognition_drought
EMP1008,healthy
EMP1009,healthy
EMP1010,healthy
EMP1011,thriving
EMP1012,burnout
EMP1013,recognition_drought
EMP1014,recognition_drought
EMP1015,healthy
EMP1016,healthy
EMP1017,rocky_onboarding
EMP1018,recognition_drought
EMP1019,recognition_drought
EMP1020,healthy
EMP1021,thriving
EMP1022,healthy
EMP1023,healthy
EMP1024,healthy
EMP1025,healthy
EMP1026,burnout
EMP1027,healthy
EMP1028,healthy
EMP1029,promotion_miss
EMP1030,leave_starved
EMP1031,burnout
EMP1032,healthy
EMP1033,healthy
EMP1034,healthy
EMP1035,thriving
EMP1036,rocky_onboarding
EMP1037,healthy
EMP1038,promotion_miss
EMP1039,burnout
EMP1040,healthy
EMP1041,promotion_miss
EMP1042,healthy
EMP1043,rocky_onboarding
EMP1044,healthy
EMP1045,rocky_onboarding
EMP1046,burnout
EMP1047,burnout
EMP1048,healthy
EMP1049,healthy
EMP1050,healthy
EMP1051,leave_starved
EMP1052,healthy
EMP1053,promotion_miss
EMP1054,healthy
EMP1055,recognition_drought
EMP1056,healthy
EMP1057,healthy
EMP1058,thriving
EMP1059,promotion_miss
EMP1060,burnout
EMP1061,leave_starved
EMP1062,healthy
EMP1063,burnout
EMP1064,healthy
EMP1065,healthy
EMP1066,healthy
EMP1067,healthy
EMP1068,recognition_drought
EMP1069,thriving
EMP1070,healthy
EMP1071,healthy
EMP1072,healthy
EMP1073,healthy
EMP1074,healthy
EMP1075,healthy
EMP1076,healthy
EMP1077,promotion_miss
EMP1078,healthy
EMP1079,leave_starved
EMP1080,healthy
EMP1081,healthy
EMP1082,healthy
EMP1083,promotion_miss
EMP1084,recognition_drought
EMP1085,burnout
EMP1086,recognition_drought
EMP1087,healthy
EMP1088,recognition_drought
EMP1089,healthy
EMP1090,promotion_miss
EMP1091,healthy
EMP1092,rocky_onboarding
EMP1093,healthy
EMP1094,healthy
EMP1095,healthy
EMP1096,healthy
EMP1097,rocky_onboarding
EMP1098,thriving
EMP1099,promotion_miss
EMP1100,leave_starved
EMP1101,healthy
EMP1102,healthy
EMP1103,burnout
EMP1104,healthy
EMP1105,healthy
EMP1106,healthy
EMP1107,healthy
EMP1108,healthy
EMP1109,healthy
EMP1110,rocky_onboarding
EMP1111,healthy
EMP1112,healthy
EMP1113,burnout
EMP1114,thriving
EMP1115,healthy
EMP1116,healthy
EMP1117,healthy
EMP1118,healthy
EMP1119,leave_starved
EMP1120,recognition_drought
EMP1121,healthy
EMP1122,promotion_miss
EMP1123,healthy
EMP1124,healthy
EMP1125,healthy
EMP1126,healthy
EMP1127,recognition_drought
EMP1128,healthy
EMP1129,healthy
EMP1130,healthy
EMP1131,burnout
EMP1132,healthy
EMP1133,healthy
EMP1134,healthy
EMP1135,healthy
