employee_id,award_type,award_date,points
EMP1000,Applause,2026-01-28,500
EMP1000,Client Kudos,2026-06-01,100
EMP1001,Star Performer,2026-02-14,100
EMP1002,Client Kudos,2026-04-06,250
EMP1004,Star Performer,2025-12-04,500
EMP1005,Client Kudos,2026-03-02,500
EMP1006,Spot Award,2026-01-27,100
EMP1008,Client Kudos,2026-03-12,250
EMP1009,Star Performer,2025-05-30,50
EMP1009,Star Performer,2026-07-15,50
EMP1010,Applause,2025-11-28,50
EMP1011,Spot Award,2026-01-15,250
EMP1011,Applause,2026-07-08,250
EMP1012,Applause,2025-06-12,250
EMP1012,Client Kudos,2025-11-26,50
EMP1015,Applause,2026-02-24,500
EMP1016,Spot Award,2025-11-07,100
EMP1020,Applause,2025-12-20,500
EMP1020,Spot Award,2026-06-15,100
EMP1020,Applause,2026-06-04,500
EMP1021,Star Performer,2025-04-15,50
EMP1021,Client Kudos,2025-05-04,50
EMP1022,Star Performer,2026-06-01,250
EMP1023,Client Kudos,2025-05-12,250
EMP1026,Spot Award,2026-07-30,50
EMP1027,Spot Award,2026-02-10,50
EMP1028,Client Kudos,2025-08-10,500
EMP1029,Spot Award,2025-07-24,50
EMP1029,Star Performer,2026-03-03,500
EMP1031,Client Kudos,2025-05-20,50
EMP1031,Star Performer,2026-01-10,100
EMP1031,Client Kudos,2025-04-23,50
EMP1032,Star Performer,2025-11-28,500
EMP1034,Star Performer,2026-07-04,100
EMP1035,Spot Award,2026-08-13,250
EMP1035,Star Performer,2026-06-30,500
EMP1036,Spot Award,2025-06-18,100
EMP1036,Applause,2025-12-21,500
EMP1036,Applause,2026-04-22,500
EMP1039,Client Kudos,2026-07-30,50
EMP1040,Client Kudos,2025-05-25,50
EMP1041,Star Performer,2025-05-19,500
EMP1042,Applause,2025-09-15,500
EMP1042,Applause,2026-02-24,250
EMP1043,Client Kudos,2026-06-07,50
EMP1044,Star Performer,2026-06-28,50
EMP1044,Client Kudos,2025-10-28,250
EMP1045,Spot Award,2026-01-03,500
EMP1046,Applause,2025-06-25,100
EMP1046,Spot Award,2026-03-06,250
EMP1046,Applause,2025-06-27,50
EMP1048,Client Kudos,2026-03-22,250
EMP1050,Spot Award,2025-11-26,500
EMP1050,Star Performer,2026-04-29,500
EMP1051,Client Kudos,2025-12-02,500
EMP1052,Spot Award,2026-02-11,100
EMP1053,Client Kudos,2025-11-08,100
EMP1054,Star Performer,2025-08-14,250
EMP1056,Applause,2025-07-22,100
EMP1057,Spot Award,2025-10-19,250
EMP1057,Spot Award,2025-05-27,500
EMP1058,Spot Award,2026-05-17,50
EMP1058,Applause,2026-07-05,250
EMP1059,Client Kudos,2026-04-27,100
EMP1059,Star Performer,2026-06-23,500
EMP1060,Spot Award,2026-01-22,250
EMP1060,Client Kudos,2025-06-02,50
EMP1061,Applause,2025-08-10,250
EMP1061,Spot Award,2025-06-23,50
EMP1062,Applause,2025-07-22,500
EMP1062,Star Performer,2026-06-11,100
EMP1064,Spot Award,2026-07-28,50
EMP1066,Spot Award,2026-01-18,500
EMP1067,Applause,2025-07-21,100
EMP1067,Star Performer,2026-05-18,100
EMP1067,Star Performer,2026-01-14,100
EMP1069,Spot Award,2025-11-03,100
EMP1069,Client Kudos,2025-05-24,500
EMP1070,Applause,2026-07-29,250
EMP1070,Applause,2026-08-12,250
EMP1070,Client Kudos,2025-08-02,500
EMP1071,Star Performer,2025-08-26,250
EMP1071,Applause,2026-06-24,100
EMP1072,Applause,2026-06-22,100
EMP1073,Applause,2025-05-16,500
EMP1073,Spot Award,2026-04-23,250
EMP1074,Spot Award,2026-02-12,250
EMP1074,Client Kudos,2026-07-28,250
EMP1075,Client Kudos,2025-11-11,500
EMP1077,Client Kudos,2025-06-09,500
EMP1078,Star Performer,2025-05-07,50
EMP1079,Star Performer,2025-07-21,250
EMP1080,Applause,2026-08-01,500
EMP1080,Spot Award,2026-03-19,500
EMP1081,Spot Award,2026-06-15,50
EMP1082,Spot Award,2025-07-15,100
EMP1083,Applause,2026-04-01,500
EMP1089,Star Performer,2026-03-07,50
EMP1089,Star Performer,2025-12-21,250
EMP1090,Client Kudos,2026-04-16,50
EMP1091,Spot Award,2026-02-20,500
EMP1091,Client Kudos,2026-01-12,500
EMP1091,Client Kudos,2026-08-05,50
EMP1093,Spot Award,2025-11-13,100
EMP1093,Client Kudos,2025-09-14,250
EMP1094,Spot Award,2025-07-15,100
EMP1096,Applause,2026-02-19,500
EMP1096,Applause,2025-04-22,250
EMP1097,Star Performer,2025-08-27,50
EMP1098,Applause,2026-01-06,250
