employee_id,survey_date,onboarding_score,mentor_assigned,training_completed_pct,clarity_of_role
EMP1004,2026-05-28,1,No,20,1
EMP1013,2025-08-31,5,No,85,4
EMP1015,2025-09-30,4,Yes,84,3
EMP1017,2026-04-28,2,No,44,2
EMP1019,2026-03-29,5,Yes,94,5
EMP1036,2026-07-27,1,No,48,2
EMP1043,2026-07-27,2,No,49,2
EMP1045,2026-06-27,2,No,40,1
EMP1063,2025-11-29,5,Yes,83,3
EMP1069,2025-10-30,5,Yes,99,3
EMP1081,2026-02-27,3,Yes,90,3
EMP1082,2025-08-31,5,Yes,81,5
EMP1092,2026-05-28,1,No,51,1
EMP1097,2026-05-28,1,No,53,1
EMP1110,2026-07-27,2,No,31,2
EMP1113,2025-11-29,4,Yes,79,3
EMP1132,2025-09-30,4,Yes,73,5
EMP1145,2025-12-29,4,Yes,81,5
EMP1155,2026-05-28,2,No,37,1
EMP1168,2026-04-28,2,No,38,1
EMP1173,2026-03-29,1,No,28,2
EMP1187,2026-05-28,1,No,26,1
EMP1189,2026-04-28,5,Yes,83,5
EMP1190,2025-09-30,4,Yes,88,4
EMP1197,2026-07-27,2,No,48,1
EMP1200,2026-04-28,2,No,24,2
EMP1204,2026-05-28,2,No,46,1
EMP1216,2026-07-27,2,No,32,2
EMP1227,2026-04-28,5,Yes,70,4
EMP1231,2026-04-28,2,No,23,1
EMP1236,2025-09-30,3,Yes,96,5
EMP1239,2025-08-31,5,Yes,99,5
EMP1258,2025-10-30,5,Yes,86,4
EMP1262,2026-04-28,4,No,99,3
EMP1265,2026-04-28,1,No,45,1
EMP1275,2026-03-29,5,No,90,4
EMP1307,2025-09-30,4,No,75,3
EMP1313,2026-02-27,5,No,79,5
EMP1319,2026-04-28,1,No,37,2
EMP1321,2026-04-28,3,Yes,95,3
EMP1329,2026-03-29,1,No,29,2
EMP1331,2026-03-29,1,No,22,2
EMP1336,2026-03-29,1,No,38,2
EMP1346,2025-08-31,3,Yes,93,4
EMP1351,2026-05-28,2,No,45,2
EMP1361,2026-04-28,1,No,41,2
EMP1366,2026-03-29,5,Yes,89,4
EMP1371,2025-09-30,4,Yes,92,4
EMP1375,2025-11-29,5,No,93,4
EMP1385,2026-06-27,2,No,34,2
EMP1403,2025-11-29,5,Yes,73,4
EMP1416,2026-01-28,3,Yes,94,3
EMP1423,2026-04-28,2,No,38,1
EMP1424,2026-03-29,2,No,41,2
EMP1426,2026-04-28,3,No,71,5
EMP1430,2026-03-29,2,No,22,2
EMP1439,2026-03-29,3,Yes,78,5
EMP1445,2026-03-29,1,No,27,2
EMP1456,2025-12-29,4,Yes,86,4
EMP1459,2026-04-28,1,No,21,1
EMP1465,2026-05-28,1,No,41,2
EMP1468,2025-09-30,3,No,72,5
EMP1474,2026-02-27,3,Yes,94,5
EMP1484,2026-01-28,3,Yes,90,4
EMP1492,2026-03-29,3,No,83,4
EMP1494,2026-07-27,1,No,29,2
