employee_id,review_cycle,rating,promoted,manager_feedback_length
EMP1000,H1-2025,5,No,245
EMP1000,H2-2025,3,No,219
EMP1000,H1-2026,4,No,93
EMP1001,H1-2025,3,No,19
EMP1001,H2-2025,2,No,5
EMP1001,H1-2026,3,No,161
EMP1002,H1-2025,3,No,93
EMP1002,H2-2025,3,No,146
EMP1002,H1-2026,4,Yes,168
EMP1003,H1-2025,5,No,157
EMP1003,H2-2025,4,No,80
EMP1003,H1-2026,3,No,193
EMP1004,H1-2025,3,No,47
EMP1004,H2-2025,2,No,115
EMP1004,H1-2026,3,No,94
EMP1005,H1-2025,3,No,80
EMP1005,H2-2025,3,No,70
EMP1005,H1-2026,3,No,150
EMP1006,H1-2025,3,No,33
EMP1006,H2-2025,3,No,139
EMP1006,H1-2026,3,No,5
EMP1007,H1-2025,3,Yes,62
EMP1007,H2-2025,3,No,216
EMP1007,H1-2026,3,No,64
EMP1008,H1-2025,4,No,73
EMP1008,H2-2025,2,Yes,81
EMP1008,H1-2026,2,No,175
EMP1009,H1-2025,3,Yes,67
EMP1009,H2-2025,3,No,118
EMP1009,H1-2026,2,No,84
EMP1010,H1-2025,4,No,115
EMP1010,H2-2025,4,No,70
EMP1010,H1-2026,4,No,162
EMP1011,H1-2025,4,No,5
EMP1011,H2-2025,5,No,140
EMP1011,H1-2026,4,No,58
EMP1012,H1-2025,3,No,86
EMP1012,H2-2025,3,No,130
EMP1012,H1-2026,4,No,160
EMP1013,H1-2025,3,No,131
EMP1013,H2-2025,2,No,72
EMP1013,H1-2026,3,No,96
EMP1014,H1-2025,5,No,112
EMP1014,H2-2025,3,No,20
EMP1014,H1-2026,2,No,112
EMP1015,H1-2025,4,No,77
EMP1015,H2-2025,3,No,138
EMP1015,H1-2026,4,No,142
EMP1016,H1-2025,3,No,149
EMP1016,H2-2025,3,No,59
EMP1016,H1-2026,3,No,124
EMP1017,H1-2025,3,No,238
EMP1017,H2-2025,4,No,98
EMP1017,H1-2026,3,No,175
EMP1018,H1-2025,3,No,44
EMP1018,H2-2025,4,No,90
EMP1018,H1-2026,2,Yes,63
EMP1019,H1-2025,4,No,135
EMP1019,H2-2025,3,Yes,63
EMP1019,H1-2026,5,No,73
EMP1020,H1-2025,3,No,190
EMP1020,H2-2025,3,No,31
EMP1020,H1-2026,4,No,62
EMP1021,H1-2025,4,No,175
EMP1021,H2-2025,4,No,56
EMP1021,H1-2026,5,No,90
EMP1022,H1-2025,3,No,180
EMP1022,H2-2025,4,No,97
EMP1022,H1-2026,2,No,160
EMP1023,H1-2025,4,No,55
EMP1023,H2-2025,3,No,84
EMP1023,H1-2026,3,No,76
EMP1024,H1-2025,3,No,196
EMP1024,H2-2025,4,No,129
EMP1024,H1-2026,3,No,66
EMP1025,H1-2025,3,No,5
EMP1025,H2-2025,3,No,34
EMP1025,H1-2026,4,No,113
EMP1026,H1-2025,3,No,146
EMP1026,H2-2025,3,Yes,127
EMP1026,H1-2026,4,No,86
EMP1027,H1-2025,4,Yes,152
EMP1027,H2-2025,3,No,76
EMP1027,H1-2026,3,Yes,182
EMP1028,H1-2025,4,No,129
EMP1028,H2-2025,3,No,151
EMP1028,H1-2026,4,No,75
EMP1029,H1-2025,4,No,124
EMP1029,H2-2025,4,No,112
EMP1029,H1-2026,2,No,88
EMP1030,H1-2025,3,Yes,95
EMP1030,H2-2025,2,No,138
EMP1030,H1-2026,5,No,145
EMP1031,H1-2025,3,No,226
EMP1031,H2-2025,4,No,100
EMP1031,H1-2026,3,No,103
EMP1032,H1-2025,4,No,145
EMP1032,H2-2025,3,Yes,66
EMP1032,H1-2026,5,No,127
EMP1033,H1-2025,2,No,97
EMP1033,H2-2025,3,No,17
EMP1033,H1-2026,2,No,109
EMP1034,H1-2025,4,No,180
EMP1034,H2-2025,4,No,206
EMP1034,H1-2026,3,No,206
EMP1035,H1-2025,5,No,275
EMP1035,H2-2025,4,Yes,16
EMP1035,H1-2026,5,No,34
EMP1036,H1-2025,5,No,133
EMP1036,H2-2025,4,No,147
EMP1036,H1-2026,2,No,79
EMP1037,H1-2025,4,Yes,113
EMP1037,H2-2025,4,No,99
EMP1037,H1-2026,3,Yes,88
EMP1038,H1-2025,4,No,152
EMP1038,H2-2025,4,No,62
EMP1038,H1-2026,2,No,121
EMP1039,H1-2025,4,No,235
EMP1039,H2-2025,1,No,21
EMP1039,H1-2026,4,No,199
EMP1040,H1-2025,2,No,130
EMP1040,H2-2025,3,Yes,92
EMP1040,H1-2026,3,Yes,112
EMP1041,H1-2025,4,No,56
EMP1041,H2-2025,4,No,152
EMP1041,H1-2026,2,No,188
EMP1042,H1-2025,4,No,184
EMP1042,H2-2025,4,No,230
EMP1042,H1-2026,3,No,65
EMP1043,H1-2025,3,No,131
EMP1043,H2-2025,3,No,176
EMP1043,H1-2026,3,No,155
EMP1044,H1-2025,4,No,75
EMP1044,H2-2025,3,No,51
EMP1044,H1-2026,5,No,131
EMP1045,H1-2025,4,No,69
EMP1045,H2-2025,3,Yes,187
EMP1045,H1-2026,4,No,115
EMP1046,H1-2025,5,No,180
EMP1046,H2-2025,3,No,118
EMP1046,H1-2026,3,Yes,222
EMP1047,H1-2025,4,No,142
EMP1047,H2-2025,2,No,52
EMP1047,H1-2026,4,No,76
EMP1048,H1-2025,4,No,18
EMP1048,H2-2025,3,No,126
EMP1048,H1-2026,4,Yes,78
EMP1049,H1-2025,5,Yes,172
EMP1049,H2-2025,2,No,120
EMP1049,H1-2026,3,Yes,150
EMP1050,H1-2025,2,No,88
EMP1050,H2-2025,3,No,181
EMP1050,H1-2026,3,No,113
EMP1051,H1-2025,3,Yes,121
EMP1051,H2-2025,3,No,110
EMP1051,H1-2026,4,No,5
EMP1052,H1-2025,4,No,109
EMP1052,H2-2025,3,No,138
EMP1052,H1-2026,3,No,134
EMP1053,H1-2025,4,No,65
EMP1053,H2-2025,4,No,185
EMP1053,H1-2026,2,No,242
EMP1054,H1-2025,3,No,201
EMP1054,H2-2025,5,No,134
EMP1054,H1-2026,3,Yes,105
EMP1055,H1-2025,4,No,165
EMP1055,H2-2025,3,No,5
EMP1055,H1-2026,4,No,99
EMP1056,H1-2025,3,No,151
EMP1056,H2-2025,3,No,140
EMP1056,H1-2026,4,Yes,94
EMP1057,H1-2025,4,No,217
EMP1057,H2-2025,3,No,86
EMP1057,H1-2026,3,No,54
EMP1058,H1-2025,4,No,242
EMP1058,H2-2025,4,No,133
EMP1058,H1-2026,4,No,56
EMP1059,H1-2025,4,No,101
EMP1059,H2-2025,4,No,138
EMP1059,H1-2026,2,No,96
EMP1060,H1-2025,4,No,155
EMP1060,H2-2025,4,No,114
EMP1060,H1-2026,4,No,76
EMP1061,H1-2025,3,No,137
EMP1061,H2-2025,1,No,110
EMP1061,H1-2026,3,No,201
EMP1062,H1-2025,3,No,135
EMP1062,H2-2025,4,No,224
EMP1062,H1-2026,4,No,134
EMP1063,H1-2025,3,Yes,108
EMP1063,H2-2025,3,Yes,127
EMP1063,H1-2026,2,No,113
EMP1064,H1-2025,3,No,166
EMP1064,H2-2025,4,No,33
EMP1064,H1-2026,4,No,234
EMP1065,H1-2025,3,No,106
EMP1065,H2-2025,2,No,33
EMP1065,H1-2026,3,Yes,148
EMP1066,H1-2025,4,No,167
EMP1066,H2-2025,3,No,166
EMP1066,H1-2026,4,No,78
EMP1067,H1-2025,4,No,161
EMP1067,H2-2025,5,Yes,86
EMP1067,H1-2026,2,Yes,133
EMP1068,H1-2025,2,No,115
EMP1068,H2-2025,3,No,115
EMP1068,H1-2026,4,No,124
EMP1069,H1-2025,4,No,99
EMP1069,H2-2025,4,No,65
EMP1069,H1-2026,5,No,23
EMP1070,H1-2025,3,No,153
EMP1070,H2-2025,5,No,36
EMP1070,H1-2026,4,No,172
EMP1071,H1-2025,4,No,198
EMP1071,H2-2025,2,Yes,126
EMP1071,H1-2026,4,No,206
EMP1072,H1-2025,3,No,135
EMP1072,H2-2025,4,Yes,88
EMP1072,H1-2026,3,No,188
EMP1073,H1-2025,4,No,75
EMP1073,H2-2025,3,No,49
EMP1073,H1-2026,4,No,217
EMP1074,H1-2025,2,No,121
EMP1074,H2-2025,3,Yes,248
EMP1074,H1-2026,4,No,149
EMP1075,H1-2025,2,No,149
EMP1075,H2-2025,3,No,226
EMP1075,H1-2026,4,Yes,92
EMP1076,H1-2025,3,No,125
EMP1076,H2-2025,3,Yes,239
EMP1076,H1-2026,3,No,82
EMP1077,H1-2025,4,No,77
EMP1077,H2-2025,4,No,124
EMP1077,H1-2026,2,No,151
EMP1078,H1-2025,3,No,96
EMP1078,H2-2025,3,No,28
EMP1078,H1-2026,4,No,191
EMP1079,H1-2025,2,Yes,199
EMP1079,H2-2025,3,No,87
EMP1079,H1-2026,3,No,82
EMP1080,H1-2025,4,No,7
EMP1080,H2-2025,3,No,181
EMP1080,H1-2026,5,No,111
EMP1081,H1-2025,4,No,200
EMP1081,H2-2025,2,No,34
EMP1081,H1-2026,3,No,140
EMP1082,H1-2025,4,No,159
EMP1082,H2-2025,3,No,89
EMP1082,H1-2026,4,No,45
EMP1083,H1-2025,4,No,129
EMP1083,H2-2025,4,No,97
EMP1083,H1-2026,2,No,107
EMP1084,H1-2025,3,No,63
EMP1084,H2-2025,4,No,46
EMP1084,H1-2026,3,No,159
